Word,Frequency
temperament,16
I,16
difficult,15
role,14
satisfaction,14
child,14
attitude,13
control,13
knowledge,13
modeling,12
teacher,11
advantage,11
student,11
people,11
high,10
faculty,10
change,9
work,8
difference,8
behavioral,8
measure,7
value,7
norm,7
level,7
way,7
different,7
justice,7
participant,6
perceive,6
physical,6
problem,6
kind,6
thinker,6
intention,6
subjective,6
school,6
white,6
think,6
boy,5
good,5
time,5
black,5
help,5
real,5
public,5
influence,5
subject,5
China,5
policy,5
music,5
procedural,5
want,5
mother,4
baseline,4
determine,4
state,4
job,4
find,4
relativistic,4
relation,4
woman,4
ability,4
response,4
regard,4
danger,4
task,4
add,4
experience,4
culture,4
like,4
desire,4
come,4
quality,4
participation,4
world,4
diplomatic,4
conflict,3
difficultness,3
effect,3
low,3
instruction,3
guide,3
process,3
education,3
likely,3
islamist,3
result,3
absolute,3
technical,3
great,3
p,3
development,3
language,3
payment,3
increase,3
cause,3
need,3
man,3
athletic,3
statement,3
point,3
special,3
slight,3
young,3
social,3
sense,3
continue,3
academic,3
environment,3
study,3
research,3
institution,3
Division,3
interactive,3
relationship,3
outcome,3
learn,3
benefit,3
deal,3
limit,3
cultural,3
little,3
question,3
assess,3
promise,3
receive,3
threat,3
behavior,3
person,3
community,3
right,3
life,3
enemy,3
art,3
pattern,3
grow,2
association,2
refer,2
et,2
similarly,2
hostile,2
dissatisfaction,2
leftist,2
Second,2
use,2
treatment,2
model,2
assessment,2
barrier,2
meet,2
especially,2
friend,2
strain,2
object,2
pay,2
reason,2
base,2
vision,2
loss,2
group,2
family,2
equally,2
attack,2
ethnic,2
de,2
major,2
aspect,2
myth,2
act,2
trait,2
thinking,2
college,2
indicate,2
financial,2
competence,2
retrofit,2
pressure,2
establish,2
activity,2
objective,2
datum,2
impact,2
reading,2
gesture,2
widely,2
national,2
citizen,2
communication,2
distrust,2
differently,2
journal,2
salience,2
II,2
movement,2
modernity,2
project,2
observer,2
phrase,2
actually,2
frequently,2
important,2
course,2
locus,2
compare,2
program,2
input,2
focus,2
board,2
Item,2
produce,2
reflect,2
personal,2
issue,2
pupil,2
purpose,2
aesthetic,2
wisdom,2
write,2
article,2
videodisc,2
stressful,2
fishery,2
graduate,2
expect,2
parent,2
affect,2
early,2
anguish,2
remember,2
active,2
actual,2
mind,2
radical,2
spend,2
predilection,2
representation,2
user,2
decision,2
party,2
variable,2
expectation,2
overall,2
strong,2
suspicious,2
report,2
authority,2
random,2
racial,2
force,2
feel,2
immediacy,2
violence,2
impugning,2
dream,2
remove,2
disagreement,2
scientific,2
safety,2
global,2
correct,2
begin,2
society,2
Soviet,2
Union,2
head,2
East,2
personality,2
Obama,2
lot,2
big,2
simply,2
political,2
ground,2
crisis,2
conservative,2
court,2
critic,2
Bush,2
external,2
link,2
identity,2
live,2
Washington,2
covert,2
action,2
anybody,2
importance,2
objection,2
behaviour,2
idea,2
country,2
customization,2
leg,2
situation,2
